Date,Open,High,Low,Close,Adj Close,Volume
2017-08-07,12305.740234,12336.000000,12225.769531,12257.169922,12257.169922,66014200
2017-08-08,12239.780273,12329.969727,12184.589844,12292.049805,12292.049805,69019400
2017-08-09,12191.370117,12227.519531,12100.120117,12154.000000,12154.000000,114678900
2017-08-10,12158.690430,12158.919922,11993.730469,12014.299805,12014.299805,94920700
2017-08-11,11961.599609,12046.889648,11934.919922,12014.059570,12014.059570,91074000
2017-08-14,12100.169922,12195.429688,12097.000000,12165.120117,12165.120117,77716000
2017-08-15,12208.299805,12234.639648,12156.870117,12177.040039,12177.040039,60311100
2017-08-16,12250.019531,12301.400391,12240.830078,12263.860352,12263.860352,64669800
2017-08-17,12236.599609,12290.049805,12184.269531,12203.459961,12203.459961,74151700
2017-08-18,12103.509766,12178.089844,12080.740234,12165.190430,12165.190430,87826700
2017-08-21,12105.719727,12149.580078,12021.700195,12065.990234,12065.990234,69988000
2017-08-22,12151.759766,12234.790039,12124.150391,12229.339844,12229.339844,66555500
2017-08-23,12227.230469,12269.919922,12155.740234,12174.299805,12174.299805,63958300
2017-08-24,12196.179688,12254.750000,12169.540039,12180.830078,12180.830078,62852100
2017-08-25,12194.730469,12249.440430,12132.500000,12167.940430,12167.940430,57519600
2017-08-28,12105.490234,12173.530273,12064.360352,12123.469727,12123.469727,34804100
2017-08-29,12031.120117,12032.320313,11868.839844,11945.879883,11945.879883,97873800
2017-08-30,12026.450195,12040.820313,11989.610352,12002.469727,12002.469727,57255200
2017-08-31,12098.570313,12115.549805,12034.179688,12055.839844,12055.839844,78301400
2017-09-01,12101.150391,12191.230469,12085.309570,12142.639648,12142.639648,73532600
2017-09-04,12051.799805,12138.410156,12050.530273,12102.209961,12102.209961,43695300
2017-09-05,12125.419922,12210.250000,12100.259766,12123.709961,12123.709961,0
